Id,DegreeCentrality,Betweenness,PageRank,InfluenceScore
elonmusk,0.24987462387161485,0.0005078960197505489,0.0519437506024965,0.10064521441358955
Tesla,0.17978936810431295,0.0,0.03299393233401061,0.07117476192001218
GailAlfarATX,0.0813691073219659,0.0003967823009257659,0.008240769021911277,0.030698092738536187
blueskykites,0.07998996990972919,0.0,0.008553520530335541,0.0301348696009891
TeslaOwnersEBay,0.07973921765295888,0.0,0.008519499823271253,0.030038601134353422
daelmor,0.07886158475426279,0.0,0.008505267951615257,0.029727871651895787
teslacn,0.07861083249749248,0.0,0.008480206010439846,0.02963384287673233
Kristennetten,0.07861083249749248,0.0,0.00847025446249338,0.029631354989745715
IheartTesla,0.07848545636910732,0.0,0.008464567863666828,0.029586051695104268
JenniCurrent,0.07848545636910732,0.0,0.008464567863666828,0.029586051695104268
EvrybodynthrMom,0.07622868605817452,0.0,0.008350282148855375,0.028767610657574924
Tesla2Lucid,0.015546639919759278,8.832996227075021e-05,0.0018124523979246748,0.005929769056305216
masegoslin,0.015546639919759278,0.0001410897493196112,0.0014799451631872654,0.005867746162440408
SawyerMerritt,0.013164493480441323,2.2494337767744192e-05,0.0032968372476941997,0.00544077976518511
LucidMotors,0.012662988966900702,0.0,0.0016958910835437027,0.004856018909301171
squawksquare,0.010030090270812437,2.0940564640630353e-05,0.005256208018676308,0.004832959825309682
WholeMarsBlog,0.012036108324974926,2.0560636978857155e-05,0.002205331915742132,0.0047721951474683
tesla_adri,0.01053159478435306,0.00019244526384048398,0.002239003759436938,0.004322787219918999
PPathole,0.01053159478435306,0.0,0.0017302813518432097,0.0041186285124843736
Falconwingsnj,0.009779338014042127,1.4211914741088469e-05,0.002718838738258997,0.004108162755375929
greg16676935420,0.00915245737211635,0.0,0.0029656720923841085,0.003944778103336749
DirtyTesLa,0.009528585757271816,8.164095211444155e-05,0.0017445693139048464,0.0038038037243671233
DimaZeniuk,0.008274824473420261,6.589779788686854e-06,0.0013384412420767012,0.0032334347881317416
garyblack00,0.0076479438314944834,0.0,0.0018576120081841949,0.0031411833430691175
TESLA_CREADOR,0.006394182547642928,0.0,0.003258998378766308,0.003052713486366602
teslaownersSV,0.008149448345035105,1.2021472687954891e-05,0.0007698450296300182,0.0030495767672449733
itsJeffTiedrich,0.006143430290872618,0.0,0.0013473173886632505,0.0024870299489712284
TeslaCharging,0.005391173520561685,0.0,0.0018365036042977715,0.0023460366332710325
fwe1991,0.0062688064192577735,0.0,7.349677758179049e-05,0.002212456441135668
